"treatment","treatment_label","comparison_id","comparison_label","sample_id","n_compared","mean_similarity"
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_3_1",11,0.215151516090909
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_3_2",11,0.252372726363636
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_3_3",11,0.252857574818182
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_4_1",11,0.209245454818182
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_4_2",11,0.228899999727273
"Cop_ctr","Untreated control","d16_vs_d21","Nauplii vs. copepodites
(D16 vs. D21)","Cop_ctr_D21_4_3",11,0.225248485727273
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_1_1",12,0.227025
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_1_2",12,0.232097221666667
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_1_3",12,0.200144445
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_2_1",12,0.1899583325
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_2_2",12,0.1817722225
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_3_1",12,0.178080555
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_3_2",12,0.121486110833333
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_3_3",12,0.133486111916667
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_4_1",12,0.0567777774166667
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_4_2",12,0.144302775833333
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D16_4_3",12,0.189688889166667
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_1_1",11,0.132451514272727
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_1_2",11,0.154639393
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_1_3",11,0.176178788454545
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_2_1",11,0.134124241545455
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_2_2",11,0.17719697
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_2_3",11,0.195509091181818
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_3_1",11,0.213515150909091
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_3_2",11,0.206736363636364
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_3_3",11,0.237909090272727
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_4_1",11,0.146712120272727
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_4_2",11,0.124542423909091
"Cop_ctr","Untreated control","d16_vs_d24","Nauplii vs. adults
(D16 vs. D24)","Cop_ctr_D24_4_3",11,0.123924243636364
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_1_1",12,0.359358331666667
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_1_2",12,0.460813889166667
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_1_3",12,0.363205555833333
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_2_1",12,0.5630138875
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_2_2",12,0.585
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_2_3",12,0.598955555
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_3_1",12,0.45668889
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_3_2",12,0.483861111666667
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_3_3",12,0.452063888333333
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_4_1",12,0.3491027775
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_4_2",12,0.425477776666667
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D21_4_3",12,0.379783333333333
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_1_1",12,0.457644445
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_1_2",12,0.463438888333333
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_1_3",12,0.452066666666667
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_2_1",12,0.445780555
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_2_2",12,0.35813611
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_2_3",12,0.44073889
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_3_1",12,0.527874998333333
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_3_2",12,0.580122221666667
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_3_3",12,0.5975722225
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_4_1",12,0.426519443333333
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_4_2",12,0.357525
"Cop_ctr","Untreated control","d21_vs_d24","Copepodites vs. adults
(D21 vs. D24)","Cop_ctr_D24_4_3",12,0.369905555833333
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_1_1",10,0.64258
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_1_2",10,0.556303334
