treatment,treatment_label,comparison_id,comparison_label,sample_id,n_compared,mean_similarity
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_4_1,12,0.042325
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_4_2,12,0.14061111083333333
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D16_4_3,12,0.32454722166666666
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_1_1,11,0.20893636327272727
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_1_2,11,0.221675757
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_1_3,11,0.22486060727272728
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_2_1,11,0.1902636360909091
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_2_2,11,0.19726363427272728
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_2_3,11,0.18098787754545453
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_3_1,11,0.21515151609090907
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_3_2,11,0.2523727263636364
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_3_3,11,0.25285757481818183
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_4_1,11,0.20924545481818183
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_4_2,11,0.22889999972727273
Cop_ctr,Untreated control,d16_vs_d21,"Nauplii vs. copepodites
(D16 vs. D21)",Cop_ctr_D21_4_3,11,0.22524848572727274
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_1_1,12,0.445144445
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_1_2,12,0.34123889
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_1_3,12,0.3808333333333333
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_2_1,12,0.5588027775
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_2_2,12,0.41293333250000003
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_2_3,12,0.49849444416666666
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_3_1,12,0.39705277833333336
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_3_2,12,0.31311389
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_3_3,12,0.3895472233333333
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_4_1,12,0.4736055558333333
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_4_2,12,0.46109999916666666
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D21_4_3,12,0.362380555
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_1_1,12,0.4270277775
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_1_2,12,0.31538333333333335
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_1_3,12,0.3683972225
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_2_1,12,0.38836388916666664
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_2_2,12,0.37388889000000003
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_2_3,12,0.38519166666666665
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_3_1,12,0.5583833325
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_3_2,12,0.4642222225
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_3_3,12,0.46515
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_4_1,12,0.45752777833333336
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_4_2,12,0.44868055583333333
Cop_pro,Probiotic-treated,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_pro_D24_4_3,12,0.38203055583333334
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_1_1,12,0.35935833166666664
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_1_2,12,0.46081388916666666
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_1_3,12,0.36320555583333336
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_2_1,12,0.5630138875
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_2_2,12,0.585
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_2_3,12,0.598955555
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_3_1,12,0.45668889
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_3_2,12,0.4838611116666667
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_3_3,12,0.45206388833333333
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_4_1,12,0.3491027775
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_4_2,12,0.42547777666666664
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D21_4_3,12,0.37978333333333336
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_1_1,12,0.457644445
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_1_2,12,0.46343888833333335
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_1_3,12,0.45206666666666667
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_2_1,12,0.445780555
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_2_2,12,0.35813611
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_2_3,12,0.44073889
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_3_1,12,0.5278749983333334
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_3_2,12,0.5801222216666667
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_3_3,12,0.5975722225
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_4_1,12,0.4265194433333333
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_4_2,12,0.357525
Cop_ctr,Untreated control,d21_vs_d24,"Copepodites vs. adults
(D21 vs. D24)",Cop_ctr_D24_4_3,12,0.36990555583333334
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D16_1_1,12,0.2367222225
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D16_2_3,12,0.23621111083333335
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D16_3_2,12,0.18486111166666666
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D16_3_3,12,0.21946944416666667
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D16_4_1,12,0.28063888833333334
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D16_4_2,12,0.23409999916666668
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D16_4_3,12,0.23000000166666668
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_1_1,7,0.2652904757142857
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_1_2,7,0.21122380857142858
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_1_3,7,0.24983809571428572
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_2_1,7,0.17421428714285714
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_2_2,7,0.1658999985714286
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_2_3,7,0.18532381142857143
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_3_1,7,0.3445285714285714
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_3_2,7,0.2685428542857143
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_3_3,7,0.2648523814285714
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_4_1,7,0.23739047714285716
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_4_2,7,0.24869047714285714
Cop_pro,Probiotic-treated,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_pro_D24_4_3,7,0.16478095285714286
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_1_1,12,0.227025
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_1_2,12,0.23209722166666666
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_1_3,12,0.200144445
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_2_1,12,0.1899583325
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_2_2,12,0.1817722225
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_3_1,12,0.178080555
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_3_2,12,0.12148611083333333
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_3_3,12,0.13348611191666665
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_4_1,12,0.05677777741666667
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_4_2,12,0.14430277583333334
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D16_4_3,12,0.18968888916666668
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_1_1,11,0.13245151427272728
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_1_2,11,0.15463939299999999
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_1_3,11,0.17617878845454546
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_2_1,11,0.13412424154545455
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_2_2,11,0.17719697
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_2_3,11,0.1955090911818182
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_3_1,11,0.2135151509090909
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_3_2,11,0.20673636363636363
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_3_3,11,0.23790909027272727
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_4_1,11,0.14671212027272726
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_4_2,11,0.12454242390909091
Cop_ctr,Untreated control,d16_vs_d24,"Nauplii vs. adults
(D16 vs. D24)",Cop_ctr_D24_4_3,11,0.12392424363636363
