Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D21;;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D24;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D21;Mean Cop_pro_D24;;
Zotu209;0.0005556;0.0009213;99.8;0;0.333;;;;;;Zotu176;0.0006944;0.0009039;99.81;0;0.417;;;;;Zotu1497;0.0005556;0.0009571;99.78;0;0.333;;
Zotu603;0.0005357;0.0008884;99.8;0.286;0.0833;;;;;;Zotu474;0.0006944;0.0009039;99.82;0;0.417;;;;;Zotu1169;0.0005556;0.0009571;99.78;0.333;0;;
Zotu491;0.0005357;0.0008884;99.81;0.143;0.25;;;;;;Zotu353;0.0006944;0.0009039;99.82;0;0.417;;;;;Zotu265;0.0005556;0.0009571;99.78;0.333;0;;
Zotu413;0.0005357;0.0008884;99.81;0.286;0.0833;;;;;;Zotu1654;0.0006944;0.0009039;99.82;0;0.417;;;;;Zotu1034;0.0005556;0.0009571;99.78;0.333;0;;
Zotu1362;0.0005357;0.0008884;99.81;0.143;0.25;;;;;;Zotu1595;0.0006944;0.0009039;99.82;0;0.417;;;;;Zotu2141;0.0005556;0.0009571;99.78;0;0.333;;
Zotu356;0.0005357;0.0008884;99.81;0.286;0.0833;;;;;;Zotu1416;0.0006944;0.0009039;99.82;0;0.417;;;;;Zotu515;0.0005556;0.0009571;99.79;0;0.333;;
Zotu350;0.0005357;0.0008884;99.81;0.286;0.0833;;;;;;Zotu220;0.0006746;0.0008781;99.82;0.286;0.167;;;;;Zotu1656;0.0005556;0.0009571;99.79;0;0.333;;
Zotu295;0.0005357;0.0008884;99.81;0.143;0.25;;;;;;Zotu515;0.0006746;0.0008781;99.82;0.143;0.333;;;;;Zotu2049;0.0005556;0.0009571;99.79;0.333;0;;
Zotu274;0.0005357;0.0008884;99.81;0.286;0.0833;;;;;;Zotu2107;0.0006746;0.0008781;99.82;0.143;0.333;;;;;Zotu1260;0.0005556;0.0009571;99.79;0.333;0;;
Zotu116;0.0005357;0.0008884;99.81;0.143;0.25;;;;;;Zotu198;0.0006746;0.0008781;99.82;0.286;0.167;;;;;Zotu2034;0.0005556;0.0009571;99.79;0;0.333;;
Zotu219;0.0005357;0.0008884;99.81;0.143;0.25;;;;;;Zotu212;0.0006746;0.0008781;99.82;0.143;0.333;;;;;Zotu1491;0.0005556;0.0009571;99.79;0;0.333;;
Zotu1024;0.0005357;0.0008884;99.81;0.286;0.0833;;;;;;Zotu201;0.0006746;0.0008781;99.82;0.143;0.333;;;;;Zotu201;0.0005556;0.0009571;99.79;0;0.333;;
Zotu1568;0.0005357;0.0008884;99.81;0.143;0.25;;;;;;Zotu567;0.0006548;0.0008522;99.83;0.286;0.25;;;;;Zotu610;0.0005556;0.0009571;99.79;0.333;0;;
Zotu1270;0.0005357;0.0008884;99.81;0.143;0.25;;;;;;Zotu1167;0.0006151;0.0008006;99.83;0.143;0.25;;;;;Zotu1192;0.0005556;0.0009571;99.79;0.25;0.167;;
Zotu587;0.0004762;0.0007897;99.82;0.143;0.167;;;;;;Zotu1924;0.0005952;0.0007748;99.83;0.286;0.167;;;;;Zotu1704;0.0005556;0.0009571;99.79;0;0.333;;
Zotu1755;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu1192;0.0005952;0.0007748;99.83;0.286;0.167;;;;;Zotu1652;0.0005556;0.0009571;99.79;0.333;0;;
Zotu1349;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu478;0.0005952;0.0007748;99.83;0.286;0.167;;;;;Zotu226;0.0005556;0.0009571;99.8;0.167;0.25;;
Zotu1336;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu867;0.0005952;0.0007748;99.83;0.286;0.167;;;;;Zotu209;0.0005556;0.0009571;99.8;0.333;0;;
Zotu2272;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu1213;0.0005754;0.0007489;99.83;0.143;0.25;;;;;Zotu1535;0.0005556;0.0009571;99.8;0.25;0.167;;
Zotu1856;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu102;0.0005754;0.0007489;99.83;0.143;0.25;;;;;Zotu1928;0.0005556;0.0009571;99.8;0.25;0.167;;
Zotu1287;0.0004762;0.0007897;99.82;0.143;0.167;;;;;;Zotu140;0.0005754;0.0007489;99.83;0.143;0.25;;;;;Zotu2010;0.0005556;0.0009571;99.8;0.167;0.25;;
Zotu2120;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu1145;0.0005754;0.0007489;99.83;0.143;0.25;;;;;Zotu633;0.0005556;0.0009571;99.8;0.167;0.25;;
Zotu205;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu1894;0.0005754;0.0007489;99.83;0.286;0.0833;;;;;Zotu867;0.0005556;0.0009571;99.8;0.25;0.167;;
Zotu2043;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu2053;0.0005754;0.0007489;99.83;0.143;0.25;;;;;Zotu880;0.0005556;0.0009571;99.8;0.25;0.167;;
Zotu1948;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu2033;0.0005754;0.0007489;99.83;0.143;0.25;;;;;Zotu1132;0.0005324;0.0009172;99.8;0.0833;0.25;;
Zotu1495;0.0004762;0.0007897;99.82;0.286;0;;;;;;Zotu196;0.0005754;0.0007489;99.83;0.143;0.25;;;;;Zotu1751;0.0005324;0.0009172;99.8;0.0833;0.25;;
Zotu1243;0.0004762;0.0007897;99.83;0.286;0;;;;;;Zotu1948;0.0005754;0.0007489;99.84;0.286;0.0833;;;;;Zotu82;0.0005324;0.0009172;99.81;0.0833;0.25;;
Zotu1974;0.0004762;0.0007897;99.83;0.286;0;;;;;;Zotu1358;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu1508;0.0005324;0.0009172;99.81;0.25;0.0833;;
Zotu399;0.0004762;0.0007897;99.83;0.143;0.167;;;;;;Zotu1605;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu428;0.0005093;0.0008773;99.81;0.25;0.0833;;
Zotu1655;0.0004762;0.0007897;99.83;0.286;0;;;;;;Zotu1594;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu350;0.0005093;0.0008773;99.81;0.0833;0.25;;
Zotu1818;0.0004762;0.0007897;99.83;0.286;0;;;;;;Zotu1288;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu439;0.0005093;0.0008773;99.81;0.167;0.167;;
Zotu2178;0.0004762;0.0007897;99.83;0.286;0;;;;;;Zotu2024;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu433;0.0005093;0.0008773;99.81;0.167;0.167;;
Zotu1893;0.0004762;0.0007897;99.83;0.286;0;;;;;;Zotu1480;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu109;0.0005093;0.0008773;99.81;0.25;0.0833;;
Zotu2039;0.0004762;0.0007897;99.83;0.286;0;;;;;;Zotu1487;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu473;0.0005093;0.0008773;99.81;0.167;0.167;;
Zotu363;0.0004365;0.0007239;99.83;0.143;0.167;;;;;;Zotu1497;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu1688;0.0005093;0.0008773;99.81;0.167;0.167;;
Zotu360;0.0004365;0.0007239;99.83;0.143;0.167;;;;;;Zotu706;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu220;0.0005093;0.0008773;99.81;0.167;0.167;;
Zotu343;0.0004365;0.0007239;99.83;0.143;0.167;;;;;;Zotu287;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu2174;0.0005093;0.0008773;99.81;0.25;0.0833;;
Zotu306;0.0004365;0.0007239;99.83;0.143;0.167;;;;;;Zotu1656;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu2108;0.0005093;0.0008773;99.81;0.25;0.0833;;
Zotu290;0.0004365;0.0007239;99.83;0.143;0.167;;;;;;Zotu1632;0.0005556;0.0007231;99.84;0;0.333;;;;;Zotu519;0.0004861;0.0008374;99.82;0.25;0.0833;;
Zotu531;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu678;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu427;0.0004861;0.0008374;99.82;0.0833;0.25;;
Zotu233;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu2141;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu364;0.0004861;0.0008374;99.82;0.25;0.0833;;
Zotu231;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu2034;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu2230;0.0004861;0.0008374;99.82;0.25;0.0833;;
Zotu2249;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu1491;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu1604;0.0004861;0.0008374;99.82;0.25;0.0833;;
Zotu2248;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu1060;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu1426;0.0004861;0.0008374;99.82;0.25;0.0833;;
Zotu1837;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu283;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu1563;0.0004861;0.0008374;99.82;0.0833;0.25;;
Zotu482;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu1704;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu1512;0.0004861;0.0008374;99.82;0.25;0.0833;;
Zotu648;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu2193;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu853;0.0004861;0.0008374;99.82;0.25;0.0833;;
Zotu2131;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu2100;0.0005556;0.0007231;99.85;0;0.333;;;;;Zotu395;0.000463;0.0007976;99.82;0.167;0.167;;
Zotu212;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu366;0.0005357;0.0006973;99.85;0.143;0.25;;;;;Zotu360;0.000463;0.0007976;99.82;0.167;0.167;;
Zotu1135;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu510;0.0005357;0.0006973;99.85;0.143;0.25;;;;;Zotu320;0.000463;0.0007976;99.82;0.167;0.167;;
Zotu192;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu427;0.0005357;0.0006973;99.85;0.143;0.25;;;;;Zotu1676;0.000463;0.0007976;99.83;0.167;0.167;;
Zotu2053;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu413;0.0005357;0.0006973;99.85;0.286;0.0833;;;;;Zotu249;0.000463;0.0007976;99.83;0.167;0.167;;
Zotu661;0.0004365;0.0007239;99.84;0.143;0.167;;;;;;Zotu316;0.0005357;0.0006973;99.85;0.143;0.25;;;;;Zotu2105;0.000463;0.0007976;99.83;0.167;0.167;;
Zotu888;0.0004365;0.0007239;99.85;0.143;0.167;;;;;;Zotu168;0.0005357;0.0006973;99.86;0.143;0.25;;;;;Zotu960;0.000463;0.0007976;99.83;0.167;0.167;;
Zotu196;0.0004365;0.0007239;99.85;0.143;0.167;;;;;;Zotu295;0.0005357;0.0006973;99.86;0.143;0.25;;;;;Zotu889;0.000463;0.0007976;99.83;0.167;0.167;;
Zotu1800;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1166;0.0005357;0.0006973;99.86;0.143;0.25;;;;;Zotu198;0.000463;0.0007976;99.83;0.167;0.167;;
Zotu592;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1666;0.0005357;0.0006973;99.86;0.286;0.0833;;;;;Zotu2183;0.0004167;0.0007178;99.83;0.25;0;;
Zotu1068;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu603;0.0005357;0.0006973;99.86;0.286;0.0833;;;;;Zotu696;0.0004167;0.0007178;99.83;0.25;0;;
Zotu1065;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu2241;0.0005357;0.0006973;99.86;0.143;0.25;;;;;Zotu659;0.0004167;0.0007178;99.83;0;0.25;;
Zotu1508;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1063;0.0005357;0.0006973;99.86;0.286;0.0833;;;;;Zotu1800;0.0004167;0.0007178;99.83;0.25;0;;
Zotu1928;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1967;0.0005357;0.0006973;99.86;0.143;0.25;;;;;Zotu529;0.0004167;0.0007178;99.83;0;0.25;;
Zotu715;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1224;0.0004762;0.0006198;99.86;0.286;0;;;;;Zotu1708;0.0004167;0.0007178;99.83;0;0.25;;
Zotu1426;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1755;0.0004762;0.0006198;99.86;0.286;0;;;;;Zotu1670;0.0004167;0.0007178;99.83;0;0.25;;
Zotu579;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1706;0.0004762;0.0006198;99.86;0.143;0.167;;;;;Zotu1810;0.0004167;0.0007178;99.84;0;0.25;;
Zotu1091;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1349;0.0004762;0.0006198;99.86;0.286;0;;;;;Zotu2272;0.0004167;0.0007178;99.84;0;0.25;;
Zotu109;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu321;0.0004762;0.0006198;99.86;0.143;0.167;;;;;Zotu2165;0.0004167;0.0007178;99.84;0;0.25;;
Zotu426;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu1646;0.0004762;0.0006198;99.86;0.286;0;;;;;Zotu2050;0.0004167;0.0007178;99.84;0;0.25;;
Zotu1177;0.0004167;0.000691;99.85;0;0.25;;;;;;Zotu2224;0.0004762;0.0006198;99.86;0.286;0;;;;;Zotu1765;0.0004167;0.0007178;99.84;0;0.25;;
Zotu364;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu1845;0.0004762;0.0006198;99.86;0.143;0.167;;;;;Zotu628;0.0004167;0.0007178;99.84;0;0.25;;
Zotu362;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu1856;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu1911;0.0004167;0.0007178;99.84;0;0.25;;
Zotu1092;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu2182;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu917;0.0004167;0.0007178;99.84;0;0.25;;
Zotu494;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu2170;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu679;0.0004167;0.0007178;99.84;0.25;0;;
Zotu178;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu1878;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu463;0.0004167;0.0007178;99.84;0.25;0;;
Zotu1194;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu2120;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu431;0.0004167;0.0007178;99.84;0.25;0;;
Zotu519;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu1273;0.0004762;0.0006198;99.87;0.143;0.167;;;;;Zotu426;0.0004167;0.0007178;99.84;0.25;0;;
Zotu272;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu775;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu1335;0.0004167;0.0007178;99.84;0.25;0;;
Zotu536;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu205;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu115;0.0004167;0.0007178;99.84;0.25;0;;
Zotu1398;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu2043;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu1542;0.0004167;0.0007178;99.85;0.25;0;;
Zotu232;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu1495;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu1990;0.0004167;0.0007178;99.85;0.25;0;;
Zotu1632;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu1974;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu715;0.0004167;0.0007178;99.85;0.25;0;;
Zotu577;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu1243;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu362;0.0004167;0.0007178;99.85;0.25;0;;
Zotu1152;0.0004167;0.000691;99.86;0;0.25;;;;;;Zotu606;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu1822;0.0004167;0.0007178;99.85;0;0.25;;
Zotu2230;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu356;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu1194;0.0004167;0.0007178;99.85;0.25;0;;
Zotu115;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu274;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu510;0.0004167;0.0007178;99.85;0;0.25;;
Zotu1604;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu1655;0.0004762;0.0006198;99.87;0.286;0;;;;;Zotu1092;0.0004167;0.0007178;99.85;0.25;0;;
Zotu1598;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu1652;0.0004762;0.0006198;99.88;0.286;0;;;;;Zotu1362;0.0004167;0.0007178;99.85;0.25;0;;
Zotu1593;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu654;0.0004762;0.0006198;99.88;0.286;0;;;;;Zotu494;0.0004167;0.0007178;99.85;0.25;0;;
Zotu2193;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu2178;0.0004762;0.0006198;99.88;0.286;0;;;;;Zotu357;0.0004167;0.0007178;99.85;0;0.25;;
Zotu217;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu1024;0.0004762;0.0006198;99.88;0.286;0;;;;;Zotu1697;0.0004167;0.0007178;99.85;0;0.25;;
Zotu2150;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu2135;0.0004762;0.0006198;99.88;0.286;0;;;;;Zotu244;0.0004167;0.0007178;99.85;0;0.25;;
Zotu713;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu1893;0.0004762;0.0006198;99.88;0.286;0;;;;;Zotu2241;0.0004167;0.0007178;99.85;0;0.25;;
Zotu720;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu2039;0.0004762;0.0006198;99.88;0.286;0;;;;;Zotu1593;0.0004167;0.0007178;99.86;0.25;0;;
Zotu2116;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu558;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu219;0.0004167;0.0007178;99.86;0.25;0;;
Zotu747;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu393;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu2150;0.0004167;0.0007178;99.86;0.25;0;;
Zotu1542;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu389;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu720;0.0004167;0.0007178;99.86;0.25;0;;
Zotu2055;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu1087;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu2116;0.0004167;0.0007178;99.86;0.25;0;;
Zotu1512;0.0004167;0.000691;99.87;0;0.25;;;;;;Zotu360;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu2098;0.0004167;0.0007178;99.86;0;0.25;;
Zotu2003;0.0004167;0.000691;99.88;0;0.25;;;;;;Zotu2197;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu860;0.0004167;0.0007178;99.86;0;0.25;;
Zotu2002;0.0004167;0.000691;99.88;0;0.25;;;;;;Zotu186;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu1967;0.0004167;0.0007178;99.86;0;0.25;;
Zotu1990;0.0004167;0.000691;99.88;0;0.25;;;;;;Zotu1886;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu864;0.0004167;0.0007178;99.86;0;0.25;;
Zotu1487;0.0004167;0.000691;99.88;0;0.25;;;;;;Zotu2067;0.0004365;0.0005682;99.88;0.143;0.167;;;;;Zotu548;0.0003935;0.0006779;99.86;0.0833;0.167;;
Zotu880;0.0004167;0.000691;99.88;0;0.25;;;;;;Zotu529;0.0004167;0.0005423;99.88;0;0.25;;;;;Zotu1845;0.0003935;0.0006779;99.86;0.0833;0.167;;
Zotu967;0.0004167;0.000691;99.88;0;0.25;;;;;;Zotu1810;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu1026;0.0003935;0.0006779;99.86;0.0833;0.167;;
Zotu966;0.0004167;0.000691;99.88;0;0.25;;;;;;Zotu1751;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu1287;0.0003935;0.0006779;99.86;0.167;0.0833;;
Zotu810;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu1708;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu646;0.0003935;0.0006779;99.86;0.0833;0.167;;
Zotu1219;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu1670;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu304;0.0003935;0.0006779;99.87;0.167;0.0833;;
Zotu1829;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu272;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu399;0.0003935;0.0006779;99.87;0.167;0.0833;;
Zotu311;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu1307;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu222;0.0003935;0.0006779;99.87;0.167;0.0833;;
Zotu558;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu2165;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu766;0.0003935;0.0006779;99.87;0.167;0.0833;;
Zotu1787;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu1132;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu1886;0.0003704;0.000638;99.87;0.0833;0.167;;
Zotu462;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu793;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu1691;0.0003704;0.000638;99.87;0.0833;0.167;;
Zotu438;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu1911;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu1837;0.0003704;0.000638;99.87;0.167;0.0833;;
Zotu427;0.0003373;0.0005594;99.88;0.143;0.0833;;;;;;Zotu1432;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu578;0.0003704;0.000638;99.87;0.0833;0.167;;
Zotu404;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu1822;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu558;0.0003704;0.000638;99.87;0.0833;0.167;;
Zotu393;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu1393;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu470;0.0003704;0.000638;99.87;0.167;0.0833;;
Zotu389;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu1765;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu415;0.0003704;0.000638;99.87;0.0833;0.167;;
Zotu460;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu376;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu482;0.0003704;0.000638;99.87;0.167;0.0833;;
Zotu347;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu1353;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu499;0.0003704;0.000638;99.87;0.167;0.0833;;
Zotu342;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu357;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu393;0.0003704;0.000638;99.87;0.0833;0.167;;
Zotu310;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu1697;0.0004167;0.0005423;99.89;0;0.25;;;;;Zotu389;0.0003704;0.000638;99.87;0.0833;0.167;;
Zotu307;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu244;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu374;0.0003704;0.000638;99.87;0.0833;0.167;;
Zotu297;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu616;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu363;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu285;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu628;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu344;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu1667;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu633;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu333;0.0003704;0.000638;99.88;0.0833;0.167;;
Zotu262;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu217;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu290;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu252;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu693;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu141;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu2279;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu1563;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu2248;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu564;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu1274;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu1607;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu604;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu773;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu661;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu2238;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu2055;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu1032;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu1611;0.0003373;0.0005594;99.89;0.143;0.0833;;;;;;Zotu2002;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu211;0.0003704;0.000638;99.88;0.167;0.0833;;
Zotu1415;0.0003373;0.0005594;99.9;0.143;0.0833;;;;;;Zotu917;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu210;0.0003704;0.000638;99.88;0.0833;0.167;;
Zotu1845;0.0003373;0.0005594;99.9;0.143;0.0833;;;;;;Zotu931;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu1525;0.0003704;0.000638;99.88;0.0833;0.167;;
Zotu1599;0.0003373;0.0005594;99.9;0.143;0.0833;;;;;;Zotu864;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu1252;0.0003704;0.000638;99.88;0.0833;0.167;;
Zotu1070;0.0003373;0.0005594;99.9;0.143;0.0833;;;;;;Zotu860;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu1907;0.0002778;0.0004785;99.88;0;0.167;;
Zotu1886;0.0003373;0.0005594;99.9;0.143;0.0833;;;;;;Zotu989;0.0004167;0.0005423;99.9;0;0.25;;;;;Zotu1440;0.0002778;0.0004785;99.88;0.167;0;;
Zotu1275;0.0003373;0.0005594;99.9;0.143;0.0833;;;;;;Zotu626;0.0003373;0.000439;99.9;0.143;0.0833;;;;;Zotu1407;0.0002778;0.0004785;99.88;0;0.167;;
Zotu2089;0.0003373;0.0005594;99.9;0.143;0.0833;;;;;;Zotu1837;0.0003373;0.000439;99.9;0.143;0.0833;;;;;Zotu580;0.0002778;0.0004785;99.89;0.167;0;;
Zotu786;0.0003373;0.0005594;99.9;0.143;0.0833;;;;;;Zotu619;0.0003373;0.000439;99.9;0.143;0.0833;;;;;Zotu1405;0.0002778;0.0004785;99.89;0;0.167;;
