Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D21;;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D24;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D21;Mean Cop_pro_D24;;
Zotu50;0.09452;0.1568;85.51;1.29;58;;;;;;Zotu92;0.1021;0.1329;85.81;63.1;68.9;;;;;Zotu1365;0.07125;0.1227;87.14;48.3;5.5;;
Zotu996;0.0929;0.1541;85.67;71.7;16;;;;;;Zotu1945;0.1015;0.1322;85.94;7.71;68.5;;;;;Zotu137;0.07116;0.1226;87.26;28.4;52.8;;
Zotu2032;0.08659;0.1436;85.81;52.3;0.333;;;;;;Zotu256;0.1004;0.1307;86.07;2.71;62.9;;;;;Zotu169;0.06972;0.1201;87.38;1.25;42.9;;
Zotu896;0.08637;0.1432;85.96;52;0.25;;;;;;Zotu337;0.09825;0.1279;86.2;59.3;0.333;;;;;Zotu194;0.06951;0.1198;87.5;11.3;48.1;;
Zotu38;0.08437;0.1399;86.09;72.7;36.3;;;;;;Zotu1781;0.09812;0.1277;86.33;59.3;0.417;;;;;Zotu187;0.06606;0.1138;87.61;1.17;40.8;;
Zotu92;0.08288;0.1374;86.23;63.1;14.3;;;;;;Zotu248;0.09615;0.1251;86.45;19.4;71.7;;;;;Zotu59;0.06521;0.1123;87.72;14.1;48;;
Zotu562;0.08248;0.1368;86.37;17.7;63.4;;;;;;Zotu1492;0.09401;0.1224;86.58;73.6;29.2;;;;;Zotu204;0.06431;0.1108;87.83;0.917;39.5;;
Zotu114;0.08036;0.1333;86.5;60.4;14.7;;;;;;Zotu38;0.09395;0.1223;86.7;72.7;63.3;;;;;Zotu120;0.06097;0.105;87.94;7;40.8;;
Zotu127;0.07984;0.1324;86.63;0.143;48;;;;;;Zotu127;0.09161;0.1192;86.82;0.143;55.1;;;;;Zotu286;0.06028;0.1038;88.04;40.7;4.5;;
Zotu134;0.07865;0.1304;86.77;49.3;2.17;;;;;;Zotu23;0.08994;0.1171;86.93;2.71;55.9;;;;;Zotu24;0.05984;0.1031;88.15;2.08;35.6;;
Zotu1820;0.07857;0.1303;86.9;47.1;0;;;;;;Zotu896;0.08627;0.1123;87.05;52;0.333;;;;;Zotu1330;0.0597;0.1028;88.25;54.9;25.8;;
Zotu535;0.07821;0.1297;87.03;22.9;65;;;;;;Zotu13;0.08562;0.1114;87.16;25.7;50.8;;;;;Zotu5;0.05928;0.1021;88.35;21.5;43.9;;
Zotu152;0.07798;0.1293;87.15;1.71;48.5;;;;;;Zotu143;0.08472;0.1103;87.27;4.71;54.3;;;;;Zotu617;0.05863;0.101;88.45;38.9;4;;
Zotu143;0.07673;0.1272;87.28;4.71;50.8;;;;;;Zotu2032;0.08423;0.1096;87.38;52.3;1.75;;;;;Zotu1003;0.05861;0.101;88.55;39.6;4.58;;
Zotu1433;0.07306;0.1212;87.4;44.3;0.5;;;;;;Zotu1077;0.08381;0.1091;87.49;3.43;53;;;;;Zotu152;0.05845;0.1007;88.65;48.5;16;;
Zotu1607;0.07234;0.12;87.52;43.6;0.167;;;;;;Zotu134;0.08103;0.1055;87.59;49.3;0.667;;;;;Zotu57;0.05697;0.09814;88.75;30.2;48.2;;
Zotu1252;0.07224;0.1198;87.64;43.4;0.0833;;;;;;Zotu163;0.08024;0.1044;87.7;5.57;50.7;;;;;Zotu64;0.05271;0.0908;88.84;37.2;23.6;;
Zotu13;0.07018;0.1164;87.76;25.7;44.1;;;;;;Zotu194;0.08014;0.1043;87.8;0;48.1;;;;;Zotu446;0.05255;0.09052;88.93;38.9;7.92;;
Zotu2136;0.0698;0.1158;87.87;45;3.17;;;;;;Zotu1820;0.07843;0.1021;87.9;47.1;0.0833;;;;;Zotu133;0.05176;0.08917;89.02;37.3;7.25;;
Zotu84;0.06867;0.1139;87.99;52.6;13.8;;;;;;Zotu59;0.07492;0.09752;88;3.14;48;;;;;Zotu232;0.04988;0.08594;89.11;0.25;30.1;;
Zotu97;0.06633;0.11;88.1;16.6;33.9;;;;;;Zotu137;0.07464;0.09716;88.1;18.1;52.8;;;;;Zotu1484;0.04877;0.08402;89.19;36.8;17.9;;
Zotu1365;0.06494;0.1077;88.21;9.29;48.3;;;;;;Zotu17;0.07435;0.09677;88.19;15.3;52.1;;;;;Zotu208;0.04859;0.0837;89.28;16.4;27.2;;
Zotu1934;0.06464;0.1072;88.31;39.3;0.5;;;;;;Zotu1433;0.07367;0.09589;88.29;44.3;0.0833;;;;;Zotu27;0.04856;0.08366;89.36;32.7;5.08;;
Zotu1793;0.06433;0.1067;88.42;44.7;26;;;;;;Zotu1607;0.07248;0.09434;88.38;43.6;0.0833;;;;;Zotu2156;0.04799;0.08267;89.44;13.1;38.3;;
Zotu2231;0.06393;0.106;88.53;39.9;1.5;;;;;;Zotu2136;0.07224;0.09403;88.48;45;1.75;;;;;Zotu9;0.04715;0.08123;89.52;11.8;34.3;;
Zotu446;0.06391;0.106;88.63;0.571;38.9;;;;;;Zotu1252;0.0721;0.09385;88.57;43.4;0.167;;;;;Zotu2196;0.0465;0.08011;89.6;43.4;47.5;;
Zotu301;0.06391;0.106;88.74;38.4;0.0833;;;;;;Zotu57;0.07179;0.09344;88.67;6.57;48.2;;;;;Zotu1010;0.04586;0.079;89.68;30.3;3.33;;
Zotu119;0.06294;0.1044;88.84;38.6;0.833;;;;;;Zotu138;0.07071;0.09204;88.76;0.286;42.7;;;;;Zotu215;0.04532;0.07808;89.76;2.75;28;;
