Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D21;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D24;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D21;Mean Cop_ctr_D24;
Zotu316;0.000404;0.0005162;99.9;0.0909;0.167;;;;Zotu1956;0.0004798;0.0005771;99.88;0.182;0.167;;;;Zotu322;0.0004167;0.0007666;99.85;0;0.25;
Zotu274;0.000404;0.0005162;99.9;0.0909;0.167;;;;Zotu1419;0.0004545;0.0005467;99.88;0.273;0;;;;Zotu531;0.0004167;0.0007666;99.85;0;0.25;
Zotu261;0.0003914;0.0005001;99.9;0.182;0.0833;;;;Zotu2205;0.0004545;0.0005467;99.88;0.273;0;;;;Zotu1648;0.0004167;0.0007666;99.85;0.25;0;
Zotu552;0.0003914;0.0005001;99.9;0.182;0.0833;;;;Zotu1889;0.0004545;0.0005467;99.88;0.273;0;;;;Zotu2238;0.0004167;0.0007666;99.85;0.25;0;
Zotu387;0.0003914;0.0005001;99.9;0.182;0.0833;;;;Zotu1428;0.0004545;0.0005467;99.88;0.273;0;;;;Zotu1604;0.0004167;0.0007666;99.85;0.25;0;
Zotu359;0.0003914;0.0005001;99.9;0.182;0.0833;;;;Zotu398;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu1072;0.0004167;0.0007666;99.85;0.25;0;
Zotu333;0.0003914;0.0005001;99.9;0.182;0.0833;;;;Zotu2167;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu111;0.0004167;0.0007666;99.85;0;0.25;
Zotu266;0.0003914;0.0005001;99.9;0.182;0.0833;;;;Zotu2072;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu1974;0.0004167;0.0007666;99.85;0;0.25;
Zotu622;0.0003914;0.0005001;99.91;0.182;0.0833;;;;Zotu1523;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu274;0.0003935;0.000724;99.85;0.167;0.0833;
Zotu220;0.0003914;0.0005001;99.91;0.182;0.0833;;;;Zotu1516;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu1859;0.0003935;0.000724;99.85;0.0833;0.167;
Zotu2053;0.0003914;0.0005001;99.91;0.182;0.0833;;;;Zotu1495;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu2257;0.0003935;0.000724;99.85;0.167;0.0833;
Zotu795;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu951;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu738;0.0003935;0.000724;99.85;0.0833;0.167;
Zotu1898;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu1928;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu1483;0.0003935;0.000724;99.86;0.167;0.0833;
Zotu692;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu755;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu2015;0.0003935;0.000724;99.86;0.167;0.0833;
Zotu1374;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu2242;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu477;0.0003935;0.000724;99.86;0.0833;0.167;
Zotu471;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu714;0.0004545;0.0005467;99.89;0.273;0;;;;Zotu795;0.0003704;0.0006814;99.86;0.167;0.0833;
Zotu393;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu409;0.0004167;0.0005012;99.89;0.182;0.0833;;;;Zotu705;0.0003704;0.0006814;99.86;0.0833;0.167;
Zotu1720;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu380;0.0004167;0.0005012;99.89;0.182;0.0833;;;;Zotu485;0.0003704;0.0006814;99.86;0.167;0.0833;
Zotu468;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu1873;0.0004167;0.0005012;99.89;0;0.25;;;;Zotu469;0.0003704;0.0006814;99.86;0.0833;0.167;
Zotu325;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu1763;0.0004167;0.0005012;99.89;0;0.25;;;;Zotu467;0.0003704;0.0006814;99.86;0.0833;0.167;
Zotu2193;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu1704;0.0004167;0.0005012;99.89;0;0.25;;;;Zotu463;0.0003704;0.0006814;99.86;0.0833;0.167;
Zotu2131;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu277;0.0004167;0.0005012;99.89;0;0.25;;;;Zotu1372;0.0003704;0.0006814;99.86;0.167;0.0833;
Zotu1005;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu276;0.0004167;0.0005012;99.89;0;0.25;;;;Zotu441;0.0003704;0.0006814;99.86;0.0833;0.167;
Zotu198;0.0003788;0.000484;99.91;0.0909;0.167;;;;Zotu2237;0.0004167;0.0005012;99.89;0;0.25;;;;Zotu1182;0.0003704;0.0006814;99.86;0.167;0.0833;
Zotu612;0.000303;0.0003872;99.91;0.182;0;;;;Zotu1016;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu409;0.0003704;0.0006814;99.86;0.167;0.0833;
Zotu1762;0.000303;0.0003872;99.91;0.182;0;;;;Zotu1301;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu1720;0.0003704;0.0006814;99.86;0.167;0.0833;
Zotu1745;0.000303;0.0003872;99.91;0.182;0;;;;Zotu2216;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu360;0.0003704;0.0006814;99.86;0.0833;0.167;
Zotu400;0.000303;0.0003872;99.91;0.182;0;;;;Zotu1275;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu350;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu331;0.000303;0.0003872;99.91;0.182;0;;;;Zotu1274;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu1787;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu1435;0.000303;0.0003872;99.91;0.182;0;;;;Zotu2063;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu303;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu2147;0.000303;0.0003872;99.92;0.182;0;;;;Zotu2048;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu267;0.0003704;0.0006814;99.87;0.167;0.0833;
Zotu1548;0.000303;0.0003872;99.92;0.182;0;;;;Zotu2043;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu564;0.0003704;0.0006814;99.87;0.167;0.0833;
Zotu1271;0.000303;0.0003872;99.92;0.182;0;;;;Zotu2006;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu239;0.0003704;0.0006814;99.87;0.167;0.0833;
Zotu2062;0.000303;0.0003872;99.92;0.182;0;;;;Zotu920;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu1102;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu1906;0.000303;0.0003872;99.92;0.182;0;;;;Zotu2009;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu1593;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu1464;0.000303;0.0003872;99.92;0.182;0;;;;Zotu612;0.0004167;0.0005012;99.9;0.182;0.0833;;;;Zotu218;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu111;0.000303;0.0003872;99.92;0.182;0;;;;Zotu483;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu1218;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu746;0.000303;0.0003872;99.92;0.182;0;;;;Zotu1617;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu729;0.0003704;0.0006814;99.87;0.167;0.0833;
Zotu343;0.000303;0.0003872;99.92;0.182;0;;;;Zotu1913;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu2126;0.0003704;0.0006814;99.87;0.167;0.0833;
Zotu320;0.000303;0.0003872;99.92;0.182;0;;;;Zotu1525;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu2089;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu1857;0.000303;0.0003872;99.92;0.182;0;;;;Zotu853;0.0004167;0.0005012;99.9;0.182;0.0833;;;;Zotu1111;0.0003704;0.0006814;99.87;0.0833;0.167;
Zotu1573;0.000303;0.0003872;99.92;0.182;0;;;;Zotu729;0.0004167;0.0005012;99.9;0.182;0.0833;;;;Zotu2042;0.0003704;0.0006814;99.87;0.167;0.0833;
Zotu700;0.000303;0.0003872;99.92;0.182;0;;;;Zotu330;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu1251;0.0003704;0.0006814;99.88;0.0833;0.167;
Zotu895;0.000303;0.0003872;99.92;0.182;0;;;;Zotu531;0.0004167;0.0005012;99.9;0;0.25;;;;Zotu896;0.0003704;0.0006814;99.88;0.167;0.0833;
Zotu850;0.000303;0.0003872;99.92;0.182;0;;;;Zotu272;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu1967;0.0003704;0.0006814;99.88;0.0833;0.167;
Zotu2257;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu1794;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu1237;0.0003704;0.0006814;99.88;0.167;0.0833;
Zotu789;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu644;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu849;0.0003704;0.0006814;99.88;0.167;0.0833;
Zotu593;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu2107;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu2020;0.0003704;0.0006814;99.88;0.167;0.0833;
Zotu2232;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu856;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu1440;0.0002778;0.000511;99.88;0;0.167;
Zotu1050;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu928;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu404;0.0002778;0.000511;99.88;0;0.167;
Zotu2165;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu932;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu1719;0.0002778;0.000511;99.88;0;0.167;
Zotu713;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu1241;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu1672;0.0002778;0.000511;99.88;0;0.167;
Zotu2152;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu816;0.0004167;0.0005012;99.91;0;0.25;;;;Zotu1670;0.0002778;0.000511;99.88;0;0.167;
Zotu1258;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu404;0.000404;0.000486;99.91;0.0909;0.167;;;;Zotu1644;0.0002778;0.000511;99.88;0;0.167;
Zotu972;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu1670;0.000404;0.000486;99.91;0.0909;0.167;;;;Zotu1157;0.0002778;0.000511;99.88;0;0.167;
Zotu869;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu344;0.000404;0.000486;99.91;0.0909;0.167;;;;Zotu2232;0.0002778;0.000511;99.88;0.167;0;
Zotu1482;0.0002778;0.0003549;99.92;0;0.167;;;;Zotu333;0.0003914;0.0004708;99.91;0.182;0.0833;;;;Zotu1851;0.0002778;0.000511;99.88;0;0.167;
Zotu1480;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu320;0.0003914;0.0004708;99.91;0.182;0.0833;;;;Zotu1211;0.0002778;0.000511;99.88;0;0.167;
Zotu1470;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu239;0.0003914;0.0004708;99.91;0.182;0.0833;;;;Zotu1024;0.0002778;0.000511;99.88;0;0.167;
Zotu756;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu185;0.0003914;0.0004708;99.91;0.182;0.0833;;;;Zotu1050;0.0002778;0.000511;99.89;0.167;0;
Zotu1870;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu700;0.0003914;0.0004708;99.91;0.182;0.0833;;;;Zotu2165;0.0002778;0.000511;99.89;0.167;0;
Zotu1403;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu199;0.0003914;0.0004708;99.91;0.182;0.0833;;;;Zotu1288;0.0002778;0.000511;99.89;0;0.167;
Zotu181;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu950;0.0003914;0.0004708;99.91;0.182;0.0833;;;;Zotu1885;0.0002778;0.000511;99.89;0;0.167;
Zotu564;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu850;0.0003914;0.0004708;99.91;0.182;0.0833;;;;Zotu2152;0.0002778;0.000511;99.89;0.167;0;
Zotu551;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu2015;0.0003914;0.0004708;99.92;0.182;0.0833;;;;Zotu2120;0.0002778;0.000511;99.89;0;0.167;
Zotu176;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu1218;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu2084;0.0002778;0.000511;99.89;0;0.167;
Zotu1372;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu474;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu807;0.0002778;0.000511;99.89;0;0.167;
Zotu423;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu467;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu1236;0.0002778;0.000511;99.89;0;0.167;
Zotu1182;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu463;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu972;0.0002778;0.000511;99.89;0.167;0;
Zotu396;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu350;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu1480;0.0002778;0.000511;99.89;0.167;0;
Zotu475;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu295;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu935;0.0002778;0.000511;99.89;0;0.167;
Zotu1708;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu1079;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu1482;0.0002778;0.000511;99.89;0.167;0;
Zotu361;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu2261;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu1473;0.0002778;0.000511;99.89;0;0.167;
Zotu1697;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu2193;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu1470;0.0002778;0.000511;99.89;0.167;0;
Zotu513;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu1133;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu1898;0.0002778;0.000511;99.89;0.167;0;
Zotu169;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu200;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu727;0.0002778;0.000511;99.89;0.167;0;
Zotu318;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu198;0.0003788;0.0004556;99.92;0.0909;0.167;;;;Zotu602;0.0002778;0.000511;99.89;0;0.167;
Zotu1168;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu1190;0.000303;0.0003645;99.92;0.182;0;;;;Zotu591;0.0002778;0.000511;99.89;0;0.167;
Zotu306;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu400;0.000303;0.0003645;99.92;0.182;0;;;;Zotu580;0.0002778;0.000511;99.89;0;0.167;
Zotu287;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu331;0.000303;0.0003645;99.92;0.182;0;;;;Zotu1814;0.0002778;0.000511;99.9;0;0.167;
Zotu277;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu329;0.000303;0.0003645;99.92;0.182;0;;;;Zotu1403;0.0002778;0.000511;99.9;0.167;0;
Zotu267;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu1435;0.000303;0.0003645;99.92;0.182;0;;;;Zotu1772;0.0002778;0.000511;99.9;0;0.167;
Zotu1161;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu2147;0.000303;0.0003645;99.92;0.182;0;;;;Zotu1191;0.0002778;0.000511;99.9;0;0.167;
Zotu1654;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu1906;0.000303;0.0003645;99.92;0.182;0;;;;Zotu474;0.0002778;0.000511;99.9;0;0.167;
Zotu1652;0.0002778;0.0003549;99.93;0;0.167;;;;Zotu1548;0.000303;0.0003645;99.92;0.182;0;;;;Zotu473;0.0002778;0.000511;99.9;0.167;0;
Zotu2276;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1271;0.000303;0.0003645;99.92;0.182;0;;;;Zotu1762;0.0002778;0.000511;99.9;0;0.167;
Zotu605;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu2062;0.000303;0.0003645;99.92;0.182;0;;;;Zotu455;0.0002778;0.000511;99.9;0;0.167;
Zotu1624;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1944;0.000303;0.0003645;99.92;0.182;0;;;;Zotu450;0.0002778;0.000511;99.9;0;0.167;
Zotu633;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1464;0.000303;0.0003645;99.92;0.182;0;;;;Zotu1749;0.0002778;0.000511;99.9;0;0.167;
Zotu1016;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu746;0.000303;0.0003645;99.93;0.182;0;;;;Zotu439;0.0002778;0.000511;99.9;0;0.167;
Zotu222;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu622;0.000303;0.0003645;99.93;0.182;0;;;;Zotu471;0.0002778;0.000511;99.9;0.167;0;
Zotu1301;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu552;0.000303;0.0003645;99.93;0.182;0;;;;Zotu396;0.0002778;0.000511;99.9;0.167;0;
Zotu660;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1857;0.000303;0.0003645;99.93;0.182;0;;;;Zotu393;0.0002778;0.000511;99.9;0.167;0;
Zotu2203;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu266;0.000303;0.0003645;99.93;0.182;0;;;;Zotu1708;0.0002778;0.000511;99.9;0.167;0;
Zotu186;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1573;0.000303;0.0003645;99.93;0.182;0;;;;Zotu361;0.0002778;0.000511;99.9;0.167;0;
Zotu2166;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu2053;0.000303;0.0003645;99.93;0.182;0;;;;Zotu356;0.0002778;0.000511;99.9;0;0.167;
Zotu727;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu838;0.000303;0.0003645;99.93;0.182;0;;;;Zotu1789;0.0002778;0.000511;99.9;0;0.167;
Zotu1285;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1462;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu325;0.0002778;0.000511;99.9;0.167;0;
Zotu2126;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1440;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1168;0.0002778;0.000511;99.91;0.167;0;
Zotu783;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu176;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu306;0.0002778;0.000511;99.91;0.167;0;
Zotu2082;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu477;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu295;0.0002778;0.000511;99.91;0;0.167;
Zotu2060;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1181;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu287;0.0002778;0.000511;99.91;0.167;0;
Zotu2042;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1719;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1079;0.0002778;0.000511;99.91;0;0.167;
Zotu2035;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1672;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu249;0.0002778;0.000511;99.91;0;0.167;
Zotu1471;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1644;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu2261;0.0002778;0.000511;99.91;0;0.167;
Zotu868;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1157;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1303;0.0002778;0.000511;99.91;0;0.167;
Zotu1990;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1851;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu222;0.0002778;0.000511;99.91;0.167;0;
Zotu918;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1211;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu660;0.0002778;0.000511;99.91;0.167;0;
Zotu1488;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1859;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu2203;0.0002778;0.000511;99.91;0.167;0;
Zotu1243;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1288;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1194;0.0002778;0.000511;99.91;0;0.167;
Zotu849;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu1892;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1575;0.0002778;0.000511;99.91;0;0.167;
Zotu1060;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu741;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1285;0.0002778;0.000511;99.91;0.167;0;
Zotu2020;0.0002778;0.0003549;99.94;0;0.167;;;;Zotu738;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1568;0.0002778;0.000511;99.91;0;0.167;
Zotu816;0.0002778;0.0003549;99.95;0;0.167;;;;Zotu2120;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1563;0.0002778;0.000511;99.91;0;0.167;
Zotu1026;0.0002778;0.0003549;99.95;0;0.167;;;;Zotu1542;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu2131;0.0002778;0.000511;99.91;0.167;0;
Zotu780;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu2084;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu1133;0.0002778;0.000511;99.91;0;0.167;
Zotu750;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1885;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu783;0.0002778;0.000511;99.91;0.167;0;
Zotu643;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu935;0.0002778;0.0003341;99.93;0;0.167;;;;Zotu2082;0.0002778;0.000511;99.91;0.167;0;
Zotu1410;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu2003;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu2060;0.0002778;0.000511;99.92;0.167;0;
Zotu467;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1236;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1990;0.0002778;0.000511;99.92;0.167;0;
Zotu463;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1473;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1243;0.0002778;0.000511;99.92;0.167;0;
Zotu451;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu705;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1991;0.0002778;0.000511;99.92;0;0.167;
Zotu399;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu602;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1238;0.0002778;0.000511;99.92;0.167;0;
Zotu374;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu591;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu868;0.0002778;0.000511;99.92;0.167;0;
Zotu350;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu580;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1474;0.0002778;0.000511;99.92;0;0.167;
Zotu1008;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1787;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu955;0.0002778;0.000511;99.92;0;0.167;
Zotu342;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1772;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1471;0.0002778;0.000511;99.92;0.167;0;
Zotu1667;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu475;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu838;0.0002778;0.000511;99.92;0.167;0;
Zotu252;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu455;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu979;0.0002778;0.000511;99.92;0;0.167;
Zotu116;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu450;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1229;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu242;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu432;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu762;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu235;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1191;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu678;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu583;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu395;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1856;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu2274;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1194;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu635;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu601;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1789;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu1829;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu1415;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu360;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu583;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu627;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu338;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu555;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu2241;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu318;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu525;0.0002546;0.0004685;99.92;0.0833;0.0833;
Zotu2234;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1161;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu442;0.0002546;0.0004685;99.93;0.0833;0.0833;
Zotu1073;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1652;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu424;0.0002546;0.0004685;99.93;0.0833;0.0833;
Zotu2200;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu249;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu399;0.0002546;0.0004685;99.93;0.0833;0.0833;
Zotu676;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu633;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu380;0.0002546;0.0004685;99.93;0.0833;0.0833;
Zotu2185;0.0002652;0.0003388;99.95;0.0909;0.0833;;;;Zotu1303;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu378;0.0002546;0.0004685;99.93;0.0833;0.0833;
Zotu1218;0.0002652;0.0003388;99.96;0.0909;0.0833;;;;Zotu2224;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu374;0.0002546;0.0004685;99.93;0.0833;0.0833;
Zotu1141;0.0002652;0.0003388;99.96;0.0909;0.0833;;;;Zotu186;0.0002778;0.0003341;99.94;0;0.167;;;;Zotu357;0.0002546;0.0004685;99.93;0.0833;0.0833;
