Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D21;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D24;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D21;Mean Cop_ctr_D24;
Zotu162;0.0861;0.11;88.97;51.9;0.25;;;;Zotu43;0.1064;0.128;85.83;78;30.9;;;;Zotu1299;0.06898;0.1269;85.9;17.8;51.8;
Zotu28;0.08518;0.1088;89.08;55.5;13.8;;;;Zotu1433;0.1058;0.1273;85.96;63.6;0.167;;;;Zotu178;0.06884;0.1267;86.03;2.92;43.1;
Zotu1958;0.08501;0.1086;89.19;9.55;58.4;;;;Zotu2040;0.1055;0.1269;86.09;1.36;64.7;;;;Zotu205;0.06824;0.1255;86.15;40.7;0.417;
Zotu193;0.08378;0.107;89.3;45.1;20.6;;;;Zotu152;0.1055;0.1269;86.21;0.818;64.1;;;;Zotu1379;0.06764;0.1244;86.28;0.0833;40.7;
Zotu2032;0.08126;0.1038;89.4;49.1;0.333;;;;Zotu51;0.1055;0.1268;86.34;0.273;63.5;;;;Zotu1958;0.06736;0.1239;86.4;58.4;36.8;
Zotu171;0.08028;0.1026;89.5;0;48.2;;;;Zotu890;0.1037;0.1247;86.46;14;73.2;;;;Zotu370;0.06606;0.1215;86.52;32.7;62.3;
Zotu14;0.08011;0.1024;89.61;4.64;52.3;;;;Zotu145;0.1027;0.1236;86.59;59.5;24.3;;;;Zotu190;0.06512;0.1198;86.64;14.8;31.9;
Zotu1610;0.07994;0.1021;89.71;16.7;59.9;;;;Zotu2027;0.1023;0.123;86.71;60.7;8.08;;;;Zotu113;0.06292;0.1158;86.76;0.583;38.2;
Zotu93;0.07765;0.09921;89.81;47.2;0.833;;;;Zotu370;0.1013;0.1219;86.83;1.45;62.3;;;;Zotu142;0.06287;0.1157;86.87;37.8;0.5;
Zotu2210;0.07759;0.09913;89.91;46.6;0.0833;;;;Zotu2052;0.09982;0.1201;86.95;9;61.7;;;;Zotu85;0.06127;0.1127;86.99;45.7;9.67;
Zotu281;0.07742;0.09892;90.01;0.545;47;;;;Zotu130;0.09907;0.1192;87.07;61.7;3.17;;;;Zotu105;0.0606;0.1115;87.1;41.6;6;
Zotu1284;0.07557;0.09655;90.1;3.91;49.3;;;;Zotu840;0.09904;0.1191;87.19;61.5;2.33;;;;Zotu146;0.06019;0.1107;87.21;0.583;36.6;
Zotu122;0.0753;0.09621;90.2;48;6.33;;;;Zotu122;0.09828;0.1182;87.31;48;44.7;;;;Zotu89;0.05919;0.1089;87.32;44.1;57.7;
Zotu170;0.07394;0.09447;90.29;26.5;23.7;;;;Zotu149;0.09821;0.1181;87.43;56.9;11;;;;Zotu1077;0.05845;0.1075;87.42;37.5;42.8;
Zotu147;0.07388;0.09439;90.39;51.1;9.92;;;;Zotu256;0.09628;0.1158;87.54;0.818;58.6;;;;Zotu101;0.0572;0.1052;87.53;25.1;49.8;
Zotu205;0.07273;0.09292;90.48;3.82;40.7;;;;Zotu179;0.09583;0.1153;87.66;53.8;6.17;;;;Zotu281;0.0572;0.1052;87.64;47;23;
Zotu2254;0.0722;0.09224;90.57;2.45;45.7;;;;Zotu2074;0.09388;0.1129;87.77;17.2;53.1;;;;Zotu202;0.05683;0.1045;87.74;22.3;40.8;
Zotu1637;0.07121;0.09098;90.66;43.6;1.17;;;;Zotu167;0.09241;0.1112;87.88;57;2.08;;;;Zotu528;0.05632;0.1036;87.84;21.2;45.8;
Zotu172;0.0708;0.09045;90.75;0.273;42.8;;;;Zotu27;0.09168;0.1103;87.99;74.5;30.4;;;;Zotu1580;0.05602;0.1031;87.95;45.9;23.4;
Zotu704;0.07072;0.09036;90.84;51.2;10.6;;;;Zotu136;0.09146;0.11;88.1;0.273;54.8;;;;Zotu286;0.05338;0.0982;88.04;40.8;11.7;
Zotu1580;0.07057;0.09016;90.94;4.18;45.9;;;;Zotu237;0.09135;0.1099;88.21;2.27;57.1;;;;Zotu1530;0.05333;0.09812;88.14;2.42;31.8;
Zotu264;0.06971;0.08906;91.02;41.9;0.0833;;;;Zotu1735;0.08802;0.1059;88.32;53.4;0.583;;;;Zotu229;0.05245;0.0965;88.24;29.1;28.4;
Zotu228;0.06811;0.08702;91.11;41.6;0.833;;;;Zotu83;0.08745;0.1052;88.42;1.64;53.7;;;;Zotu1284;0.05231;0.09625;88.34;49.3;20.3;
Zotu716;0.06703;0.08564;91.2;42.4;2.75;;;;Zotu81;0.08687;0.1045;88.53;52.6;0.667;;;;Zotu1020;0.05231;0.09625;88.43;8.92;38;
Zotu2040;0.06537;0.08352;91.28;1.36;40.6;;;;Zotu126;0.08654;0.1041;88.63;0.364;52.2;;;;Zotu236;0.05116;0.09412;88.53;27.7;42.6;
Zotu1344;0.06385;0.08158;91.36;4.45;42.3;;;;Zotu162;0.08643;0.104;88.74;51.9;7.92;;;;Zotu195;0.05109;0.09399;88.62;7.83;35;
Zotu2010;0.06384;0.08156;91.44;38.6;0.333;;;;Zotu332;0.08588;0.1033;88.84;52.5;3;;;;Zotu1344;0.05032;0.09258;88.71;42.3;21.6;
Zotu561;0.06371;0.0814;91.52;42;4.5;;;;Zotu2146;0.08552;0.1029;88.94;10.5;61.1;;;;Zotu246;0.04829;0.08884;88.8;15.1;40.4;
Zotu535;0.06273;0.08014;91.61;9.45;46.5;;;;Zotu161;0.08524;0.1025;89.05;0.273;51.4;;;;Zotu1669;0.04808;0.08845;88.89;39.8;11.3;
Zotu131;0.06251;0.07987;91.68;38;0.583;;;;Zotu193;0.08322;0.1001;89.15;45.1;19.9;;;;Zotu120;0.04743;0.08726;88.98;9.75;34.8;
Zotu1077;0.06129;0.0783;91.76;0.727;37.5;;;;Zotu147;0.08135;0.09785;89.24;51.1;2.58;;;;Zotu617;0.04699;0.08645;89.06;32;3.92;
Zotu1669;0.06109;0.07805;91.84;3.18;39.8;;;;Zotu2032;0.079;0.09503;89.34;49.1;1.75;;;;Zotu1943;0.04671;0.08594;89.15;4;30.5;
