Zotu1078;d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae
Zotu1079;d:Bacteria,p:Bacillota,c:Bacilli
Zotu108;d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae
Zotu1080;d:Bacteria,p:Bacteroidota,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae
Zotu1081;d:Bacteria,p:Bacillota,c:Bacilli
Zotu1082;d:Bacteria,p:Actinomycetota,c:Actinobacteria,o:Micrococcales,f:Micrococcaceae,g:Micrococcus
Zotu1083;d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae
Zotu1084;d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Enterobacterales,f:Morganellaceae
Zotu1085;d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae
Zotu1086;d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria
Zotu1087;d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas
Zotu1088;d:Bacteria,p:Pseudomonadota,c:Alphaproteobacteria,o:Rhodobacterales,f:Roseobacteraceae
Zotu1089;d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae
Zotu109;d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Gammaproteobacteria_incertae_sedis,f:Marinicella
Zotu1090;d:Bacteria,p:Pseudomonadota
Zotu1091;d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Alteromonadales,f:Alteromonadaceae,g:Paraglaciecola
Zotu1092;d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae
Zotu1093;d:Bacteria,p:Bacteroidota,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Sphingobacterium
Zotu1094;d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales
Zotu1095;d:Bacteria,p:Pseudomonadota,c:Betaproteobacteria,o:Burkholderiales,f:Alcaligenaceae,g:Kerstersia
Zotu1096;d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales
Zotu1097;d:Bacteria,p:Cyanobacteriota,c:Chloroplast,o:Chloroplast,f:Streptophyta
Zotu1098;d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas
Zotu1099;d:Bacteria,p:Bacillota,c:Bacilli,o:Caryophanales,f:Bacillaceae
Zotu11;d:Bacteria,p:Pseudomonadota,c:Gammaproteobacteria,o:Oceanospirillales,f:Halomonadaceae,g:Halomonas
